Id	MedianHouseAge	AverageRooms	AverageBedrooms	Latitude	Longitude	MedianPrice
0	41	6.984126984126984	1.0238095238095237	37.88	-122.23	452600
1	21	6.238137082601054	0.9718804920913884	37.86	-122.22	358500
2	52	8.288135593220339	1.073446327683616	37.85	-122.24	352100
3	52	5.8173515981735155	1.0730593607305936	37.85	-122.25	341300
4	52	6.281853281853282	1.0810810810810811	37.85	-122.25	342200
5	52	4.761658031088083	1.1036269430051813	37.85	-122.25	269700
6	52	4.9319066147859925	0.9513618677042801	37.84	-122.25	299200
7	52	4.797527047913447	1.061823802163833	37.84	-122.25	241400
8	42	4.294117647058823	1.1176470588235294	37.84	-122.26	226700
9	52	4.970588235294118	0.9901960784313726	37.84	-122.25	261100
10	52	5.477611940298507	1.0796019900497513	37.85	-122.26	281500
11	52	4.772479564032698	1.0245231607629428	37.85	-122.26	241800
12	52	5.322649572649572	1.0128205128205128	37.85	-122.26	213499
13	52	4.0	1.0977011494252873	37.84	-122.26	191300
14	52	4.262903225806451	1.0096774193548388	37.85	-122.26	159200
15	50	4.242424242424242	1.071969696969697	37.85	-122.26	140000
16	52	5.9395770392749245	1.0483383685800605	37.85	-122.27	152500
17	52	4.052805280528053	0.966996699669967	37.85	-122.27	155500
18	50	5.343675417661098	1.0859188544152745	37.84	-122.26	158700
19	52	5.465454545454546	1.0836363636363637	37.84	-122.27	162900
20	40	4.524096385542169	1.108433734939759	37.85	-122.27	147500
21	42	4.478142076502732	1.0027322404371584	37.85	-122.27	159800
22	52	5.096234309623431	1.1317991631799162	37.84	-122.27	113900
23	52	5.193846153846154	1.0369230769230768	37.84	-122.27	99700
24	52	5.270142180094787	1.0355450236966826	37.84	-122.27	132600
25	41	4.495798319327731	1.0336134453781514	37.85	-122.28	107500
26	49	4.7280334728033475	1.0209205020920502	37.85	-122.28	93800
27	52	4.7808564231738035	1.0604534005037782	37.85	-122.28	105500
28	50	4.40169133192389	1.040169133192389	37.84	-122.28	108900
29	52	4.703225806451613	1.032258064516129	37.84	-122.28	132000
30	49	5.068783068783069	1.1825396825396826	37.84	-122.28	122300
31	52	4.882086167800454	1.090702947845805	37.84	-122.28	115199
32	48	5.737313432835821	1.2208955223880598	37.84	-122.27	110400
33	49	5.0303951367781155	1.1124620060790273	37.83	-122.27	104900
34	51	4.972014925373134	1.0708955223880596	37.83	-122.27	109700
35	49	4.6022727272727275	1.0681818181818181	37.83	-122.27	97200
36	48	4.807486631016043	1.1550802139037433	37.83	-122.27	104500
37	52	3.7493796526054592	0.967741935483871	37.83	-122.28	103899
38	52	4.757281553398058	1.0679611650485437	37.83	-122.26	191400
39	52	3.4942528735632186	1.0272988505747127	37.83	-122.26	176000
40	52	4.215189873417722	1.0607594936708862	37.83	-122.26	155400
41	51	3.7590361445783134	1.248995983935743	37.83	-122.26	150000
42	49	3.7724867724867726	1.0687830687830688	37.84	-122.26	118800
43	52	4.797979797979798	1.02020202020202	37.84	-122.26	188800
44	52	4.941780821917808	1.0650684931506849	37.83	-122.26	184400
45	52	4.335078534031414	1.0994764397905759	37.83	-122.26	182300
46	50	3.700657894736842	1.0592105263157894	37.83	-122.26	142500
47	43	3.9802371541501977	1.233201581027668	37.82	-122.27	137500
48	40	3.9	1.21875	37.82	-122.26	187500
49	40	2.6875	1.0653409090909092	37.82	-122.27	112500
50	21	2.045662100456621	1.0342465753424657	37.82	-122.27	171900
51	43	4.58968058968059	1.1203931203931203	37.82	-122.27	93800
52	41	4.473611111111111	1.1847222222222222	37.82	-122.27	97500
53	52	4.075	1.14	37.82	-122.27	104200
54	52	5.021459227467811	1.0085836909871244	37.82	-122.28	87500
55	52	4.295454545454546	1.1045454545454545	37.82	-122.28	83100
56	52	4.77992277992278	1.111969111969112	37.82	-122.28	87500
57	52	6.102459016393443	1.3729508196721312	37.82	-122.28	85300
58	52	4.5625	1.1217105263157894	37.82	-122.28	80300
59	2	2.7719298245614037	0.7543859649122807	37.82	-122.29	60000
60	52	5.994652406417113	1.1283422459893049	37.83	-122.29	75700
61	49	5.869565217391305	1.2608695652173914	37.82	-122.29	75000
62	50	6.229508196721311	1.5573770491803278	37.81	-122.29	86100
63	52	7.69811320754717	1.490566037735849	37.81	-122.3	76100
64	48	6.225563909774436	1.368421052631579	37.81	-122.3	73500
65	52	5.401069518716578	1.1176470588235294	37.81	-122.3	78400
66	48	4.382530120481928	1.0662650602409638	37.81	-122.3	84400
67	52	6.98639455782313	1.6598639455782314	37.8	-122.29	81300
68	52	6.975609756097561	1.329268292682927	37.81	-122.3	85000
69	46	4.584288052373159	1.0540098199672667	37.81	-122.29	129200
70	26	6.047244094488189	1.1968503937007875	37.81	-122.29	82500
71	46	3.375451263537906	1.0722021660649819	37.81	-122.29	95200
